audio_file_name,Speaker,Gender,Country,Recording,AdditionalInfo
com_01523_00410298204,com01523speaker,m,co,La mermelada de zarzamora es muy fácil de hacer,
arf_01208_01921471651,arf01208speaker,f,ar,El Llano en Llamas es un clásico de Juan Rulfo,
arf_02484_01268075048,arf02484speaker,f,ar,"No tengo ni idea de cómo cambiar una rueda, no sé si pueda pedir asistencia si me puedes ayudar vos",
arf_01208_01272386743,arf01208speaker,f,ar,Hola Cristina que bueno que pueda hablar con vos,
arm_07508_00518007363,arm07508speaker,m,ar,La granizada destruyó toda la plantación de lechuga,
pem_02121_02012259646,pem02121speaker,m,pe,Necesito por favor que busques que transporte usan los habitantes de Monterrey para ir a su trabajo,
arf_08784_01816898104,arf08784speaker,f,ar,A Sofia y a Pablo les gusta el karaoke y el sushi,
com_01523_00483493677,com01523speaker,m,co,¿Sabes qué equipos están clasificados y cuáles no para el mundial de Rusia del dos mil dieciocho?,
pef_01523_00900640542,pef01523speaker,f,pe,¿Qué beneficios tiene el comer frutas y verduras?,
pem_01523_01256344172,pem01523speaker,m,pe,Esa misma actriz toca el piano y el violín,
clm_02121_01274136943,clm02121speaker,m,cl,Estoy seguro que has escuchado la canción porque la compraste hace tres años y medio a traves de iTunes,
arf_02484_00314312086,arf02484speaker,f,ar,¿En cuántos juegos asiáticos ha participado?,
cof_06136_00274284794,cof06136speaker,f,co,La granizada destruyó toda la plantación de lechuga,
clm_07508_00786694749,clm07508speaker,m,cl,¿Cuánto cuesta una bicicleta para niños?,
clm_02121_01352111096,clm02121speaker,m,cl,Se han hecho versiones en todos los idiomas de esa canción,
pem_02121_01640276054,pem02121speaker,m,pe,No he tenido hijos para no cambiarles los pañales,
arf_02484_02118072802,arf02484speaker,f,ar,¿Me podés conseguir un analgésico?,
prf_03397_01263477336,prf03397speaker,f,pr,Me parece muy interesante el libro de Frida sobre astronomía,
pem_02121_01814985256,pem02121speaker,m,pe,No supo descifrar las huellas,
com_08784_00734150346,com08784speaker,m,co,La película me llegó al corazón,
prf_03397_01804108199,prf03397speaker,f,pr,Me parece muy interesante el libro de Francisco sobre arte contemporáneo,
prf_03397_01438844511,prf03397speaker,f,pr,De postre voy a servir un pastel de tres chocolates,
pem_01523_01354719804,pem01523speaker,m,pe,¿Tienes el medio de transporte adecuado para llegar a las cataratas?,
arf_08784_01506819325,arf08784speaker,f,ar,Estoy muy mareado,
clf_09697_00223580375,clf09697speaker,f,cl,Los sandwich están fríos,
com_01523_01041828105,com01523speaker,m,co,No quiero ir en limusina preferimos unas vans,
arf_01208_00308302727,arf01208speaker,f,ar,¿Cuáles son las principales diferencias?,
pef_01208_01247442646,pef01208speaker,f,pe,Vamos a usar la app de la embajada de Alemania que es para gente que no sabe nada de Alemán,
com_08784_01862856900,com08784speaker,m,co,Tarda de dos días hábiles en recibir el dinero en efectivo por ser de diferente banco,
prf_03397_01822909591,prf03397speaker,f,pr,¿Quién subió el mejor video,
pem_02121_01040281510,pem02121speaker,m,pe,"No tengo ni idea de como cambiar una rueda, no se si pueda pedir asistencia o me puedas ayudar tu",
arf_08784_00669696421,arf08784speaker,f,ar,Quiero bajar un programa o algo donde pueda entender el idioma,
arf_02484_01395499987,arf02484speaker,f,ar,Nunca fuiste constante en tu vida.,
cof_03034_01622426324,cof03034speaker,f,co,Las ventas de agua con gas han aumentado muchísimo en los últimos tres años.,
clm_07508_01406829282,clm07508speaker,m,cl,¿Cuáles son las zonas dónde están los mejores restaurantes?,
pef_01523_01894971854,pef01523speaker,f,pe,¿Cómo puedo comunicarme con la universidad de Argentina?,
vem_04310_00406744381,vem04310speaker,m,ve,¿Cuántas horas duerme un gato?,
cof_03034_01148224840,cof03034speaker,f,co,La ciudad es bellísima y tan alegre,
clm_02121_00584464825,clm02121speaker,m,cl,Estoy cansado de comer dulces,
cof_03034_01309190413,cof03034speaker,f,co,Acabo de comprar ésta casa y ya necesita un techo nuevo.,
pef_01208_00660319926,pef01208speaker,f,pe,Asistente traductor en línea,
arf_08784_01970207636,arf08784speaker,f,ar,Pedime dos pizzas cuatro quesos y no se lo digas a nadie,
com_08784_01081970922,com08784speaker,m,co,Me parece muy interesante el libro de Francisco sobre arte contemporáneo,
cof_06136_00879154733,cof06136speaker,f,co,Siempre es interesante ver cosas nuevas,
pef_01208_01726514396,pef01208speaker,f,pe,La pronunciación del francés es difícil,
clm_02121_00199408066,clm02121speaker,m,cl,Una vez colocado el carbón coloque la rejilla donde va a colocar la carne,
pef_01208_00620876976,pef01208speaker,f,pe,La bicicleta urbana se ha convertido en uno de los medios de transporte mejores de la ciudad,
arm_07508_01479983395,arm07508speaker,m,ar,No te entiendo nada,
vem_04310_01413840092,vem04310speaker,m,ve,Los corazones de pollo son una delicia,
pem_01523_01990353138,pem01523speaker,m,pe,"Me gusta mucho como actúa ese actor, es el actor que más me hace reír",
clm_02121_01515967488,clm02121speaker,m,cl,"Las tejas rojas del tejado no son de México, son de Texas",
vem_04310_02017189620,vem04310speaker,m,ve,No supo descifrar las huellas,
com_01523_00314453562,com01523speaker,m,co,Una amiga mía está haciendo una exposición sobre nuevos procesos narrativos y necesito información,
clm_07508_00033803776,clm07508speaker,m,cl,Tiene el tiempo contado,
clm_07508_01618056237,clm07508speaker,m,cl,¿Qué es lo que necesitas?,
arf_08784_01957205015,arf08784speaker,f,ar,Los hámsters comen zanahorias,
com_08784_01885004700,com08784speaker,m,co,En la zona del centro te puedes mover fácilmente caminando y no vas a necesitar ningún medio de transporte,
com_08784_00594645994,com08784speaker,m,co,"Raúl me he sentido un poco fuera de lugar estos días, me siento gordo",
cof_03034_00665255650,cof03034speaker,f,co,Ahora puedes encontrar jamón serrano en todas partes.,
arf_08784_01841988514,arf08784speaker,f,ar,El mango me encanta,
pem_02121_01501447003,pem02121speaker,m,pe,"Me gustaría saber qué sistema operativo me recomiendas, ¿Apple o Macintosh?",
pef_01208_01949654434,pef01208speaker,f,pe,Estoy bien emocionada me voy a Holanda,
prf_03397_01907101083,prf03397speaker,f,pr,Caracas tiene muchísimos parques donde hay conciertos gratuitos,
pef_01523_00038199685,pef01523speaker,f,pe,La mermelada de zarzamora es muy fácil de hacer,
cof_06136_00202312558,cof06136speaker,f,co,¿Podría investigarme qué tal va a estar el clima mañana?,
pem_02121_01126609153,pem02121speaker,m,pe,Este fin de semana voy a ir al cine con mi esposa,
pem_01523_00233889779,pem01523speaker,m,pe,Perdón que te interrumpa pero no se que hora es,
arf_08784_01055410460,arf08784speaker,f,ar,Te voy a mandar por whatsapp las especificaciones de los invitados,
arf_08784_01289834606,arf08784speaker,f,ar,"En su teléfono hay una pestaña que dice aplicaciones, apriete el icono de color azul",
pem_01523_00768312322,pem01523speaker,m,pe,¿Sabes cuáles son los equipos con mejor calidad de fútbol?,
clm_07508_00385949779,clm07508speaker,m,cl,¿Qué eventos importantes hay el día de hoy?,
clf_09697_01516967493,clf09697speaker,f,cl,"Tengo solo una hora para comer, tengo que regresar a la oficina, localízame un lugar cercano",
arm_07508_00936410677,arm07508speaker,m,ar,¿Te gusta esquiar?,
arm_07508_01740208717,arm07508speaker,m,ar,Frida Kahlo estaba casada con el artista mexicano llamado Diego Rivera.,
clf_09697_00118215600,clf09697speaker,f,cl,"Estoy preocupado, no se que me esta pasando",
clf_09697_01548079719,clf09697speaker,f,cl,¿Sabes cómo me podría contactar con ellos?,
com_01523_00546055786,com01523speaker,m,co,A doce kilómetros hacia el sur de su casa hay un hospital veterinario,
