country,gender,speech_text,audio_file_name
argentina.,female,"Para la caída del cabello, tengo un nuevo champú",arf_05679_01463815283
argentina.,female,Los hámsters comen zanahorias,arf_05223_00524892324
argentina.,female,¿Me podés mandar fotos de la pileta?,arf_07973_01243309438
argentina.,female,Hola Cristina que bueno que pueda hablar con vos,arf_01208_01272386743
argentina.,female,Tranquilo va a estar todo bien,arf_06136_01580696558
argentina.,female,No sé hablar tamil,arf_07060_00123224886
argentina.,female,El procesador es más lento en una computadora Dell que con una Mac.,arf_09697_01283063308
argentina.,female,Adidas sacó una versión especial de zapatillas a las que no les entra el agua,arf_00295_01668185466
argentina.,female,La panadería es un arte,arf_07973_02142093580
argentina.,female,¿Cuántas medallas ha ganado?,arf_02484_00401828693
argentina.,female,"Acabo de comprar este control remoto universal, te doy el numero de serie y me ayudás a configurarlo",arf_03397_00070708341
argentina.,female,Quisiera reservar dos pasajes por favor pero en primera clase,arf_03349_02080178656
argentina.,female,La pronunciación del francés es difícil,arf_01523_01434576176
argentina.,female,Ya no aguanto más este frío.,arf_08421_01735233203
argentina.,female,Necesito prácticamente un curso express,arf_03349_00945859989
argentina.,female,Siqueiros pintó murales en todo el mundo.,arf_07505_00773826675
argentina.,female,El pijama de rayas es azul,arf_02121_00587621030
argentina.,female,Quiero la cartera para un regalo de cumpleaños para Andrea.,arf_00610_01250551227
argentina.,female,¿Conocés los hornos marroquíes para hacer pan?,arf_09334_01672452269
argentina.,female,Tiene una película muy famosa que se llama Dos Mil Uno una Odisea del Espacio,arf_09799_01449247863
argentina.,female,¿Cuántos deportes se practican en las Olimpíadas y cuántos países participan?,arf_02484_01031702658
argentina.,female,"Ya llegó el taxi, está acá afuera",arf_00295_01362792856
argentina.,female,¿Quién subió el mejor video?,arf_08886_00911286541
argentina.,female,¿En qué calle está la casa?,arf_07508_00264979610
argentina.,female,¿Fuiste a la Casa de Frida Kahlo?,arf_03034_01482687432
argentina.,female,Tengo muchos discos de vinilo,arf_04766_01800162063
argentina.,female,Le recomiendo los fiordos noruegos,arf_02436_00611339611
argentina.,female,No me gusta comer en un lugar con mucha gente.,arf_03034_00669347754
argentina.,female,En Alaska hay muchos animales salvajes.,arf_07505_01016145215
argentina.,female,¿Dónde encuentro una farmacia abierta a estas horas?,arf_09334_01344759024
argentina.,female,La parte de las cataratas del Niágara que está del lado estadounidense es bastante aburrida,arf_01523_00157884753
argentina.,female,¿La casa esta amueblada o no?,arf_08784_00595465846
