country,gender,speech_text,audio_file_name
argentina.,female,¿Qué opciones de vuelo hay?,audiosBastantes/arf_02121_00117568274
colombia.,female,En varios portales de internet encontramos clasificación de cuatro y cinco estrellas,audiosBastantes/cof_02484_01971524767
peru.,male,¿Te gusta la nieve?,audiosBastantes/pem_09697_00606153301
peru.,female,¿Me puedes conseguir un analgésico?,audiosBastantes/pef_07508_00413215081
argentina.,female,No sé a donde salir con mi esposo para nuestro aniversario.,audiosBastantes/arf_08421_01508873369
argentina.,female,No supo descifrar las huellas,audiosBastantes/arf_03397_01634899905
peru.,male,Los boletos cuestan alrededor de ciento cincuenta dólares canadienses,audiosBastantes/pem_09697_01208190701
peru.,male,La mermelada de zarzamora es muy fácil de hacer,audiosBastantes/pem_08421_01830479856
colombia.,male,Estoy en Monterrey de visita y no conozco muy bien la ciudad.,audiosBastantes/com_07049_00678516699
colombia.,female,Por las tardes se escucha música en la Plaza.,audiosBastantes/cof_07508_00977546862
peru.,male,El evento es en cuatro días,audiosBastantes/pem_04310_00227172220
argentina.,male,Hemos encontrado diferentes cuartos en la zona sur que se adecuan a tus necesidades,audiosBastantes/arm_08421_01975205620
venezuela.,female,Asistente traductor en línea,audiosBastantes/vef_09697_01323270223
argentina.,female,Los hámsters comen zanahorias,audiosBastantes/arf_03397_01119240788
colombia.,female,Te lo puedo mandar a tu correo para que lo entiendas mejor.,audiosBastantes/cof_09334_02076678021
argentina.,male,¿Qué te parece los mas grandes exitos en español?,audiosBastantes/arm_05223_01908915837
peru.,male,Me gusta mucho caminar por el campo y tomarle fotos a la naturaleza,audiosBastantes/pem_05223_01337817723
venezuela.,female,¿Quién de la lista da el mejor masaje deportivo?,audiosBastantes/vef_08421_01714835969
argentina.,female,"Los podcast hablan de espectáculos, y deportes, de cualquier tipo de tema",audiosBastantes/arf_05223_00717176231
argentina.,female,¿Quién subió el mejor video?,audiosBastantes/arf_07060_01661765584
peru.,female,Vamos a usar la app de la embajada de Francia que es para gente que no sabe nada de Francés,audiosBastantes/pef_09697_01725717004
argentina.,male,Te recomiendo mucho el jugo de ananá con manzana por la mañana. Es muy energético.,audiosBastantes/arm_03397_00651543608
colombia.,male,No me acuerdo como se llama la película que vi en el cine.,audiosBastantes/com_03349_02015752225
argentina.,male,Creo que tiene rota la tibia y el peroné,audiosBastantes/arm_08421_01262873166
argentina.,male,¿Por qué dicen quen la sal no es saludable?,audiosBastantes/arm_01523_00957798349
venezuela.,female,¿Deseas enviar datos a_letter tu familia de que estás bien?,audiosBastantes/vef_05223_00485759711
peru.,female,La ciudad es bellísima y tan alegre,audiosBastantes/pef_07508_01898452025
colombia.,female,El Llano en Llamas es un clásico de Juan Rulfo,audiosBastantes/cof_08784_00513249794
peru.,male,Te recomiendo que veas las películas de Luis Buñuel.,audiosBastantes/pem_09334_00001754833
argentina.,female,¿Qué necesito para renovar mi visa de turista?,audiosBastantes/arf_02436_00861573097
argentina.,male,"Ya no quiero usar tanto el auto, quiero usar más la bicicleta",audiosBastantes/arm_07049_02037291603
argentina.,female,Hay varios cines cerca de tu hotel. ¿Estas buscando algo en especial?,audiosBastantes/arf_09697_00779410083
peru.,male,¿Cómo va el juego de tenis?,audiosBastantes/pem_09334_01643406774
peru.,female,"Tengo una junta de negocios con la firma de abogados, ¿se acuerda?",audiosBastantes/pef_02121_01691803823
peru.,female,"Sí, esa bolsa es la bolsa que quiero.",audiosBastantes/pef_09334_01300329248
colombia.,female,No se que hacer con mi hijo y su mala conducta.,audiosBastantes/cof_08421_00542570693
peru.,male,El pijama de rayas es azul,audiosBastantes/pem_08784_01744820927
argentina.,male,Acá tengo la programación completa de la sala de exposiciones,audiosBastantes/arm_00610_01069534957
peru.,male,¿Quieres que te mande el artículo?,audiosBastantes/pem_07049_01254204935
argentina.,female,Para que el sabor de la comida mediterránea realmente resalte se recomienda un vino más seco,audiosBastantes/arf_03397_00508047821
argentina.,female,"¿Hay algún establecimiento que me pueda dar como referencia?, no sé ¿una panadería o algo?",audiosBastantes/arf_00295_00672609549
argentina.,female,¿Estos animales se reproducen en cautiverio?,audiosBastantes/arf_03349_01286228471
colombia.,male,El reciclaje es bueno para el medio ambiente.,audiosBastantes/com_06136_00026337276
venezuela.,male,¿Me puedes mandar unas fotos de ella?,audiosBastantes/vem_02484_00178716846
argentina.,male,Si de casualidad cambia el clima nos podrías mandar un mensaje al celular por favor,audiosBastantes/arm_09697_00857352105
colombia.,male,"Ésta atleta Española es un caso único, hace atletismo y levantamiento de pesas y participa en ambas categorías",audiosBastantes/com_02484_02043793994
venezuela.,male,¿Cuál es el queso que más te gusta?,audiosBastantes/vem_05223_00852847714
peru.,female,En salto alto no tenemos participantes,audiosBastantes/pef_08784_00516167827
colombia.,female,La universidad de las Américas es la más cara del país,audiosBastantes/cof_03349_01852866239
argentina.,male,¿Estás a cargo de la logística del evento?,audiosBastantes/arm_02484_01778093630
colombia.,female,¿Qué te parece una expedición en el Amazonas?,audiosBastantes/cof_02436_01709030830
argentina.,female,Hace once grados y llueve,audiosBastantes/arf_02485_01656499668
peru.,female,"Es un día muy soleado, se esperan lluvias por las tardes",audiosBastantes/pef_02484_02062179368
venezuela.,female,¿Cuántos albergues se abrieron después del terremoto del diecinueve de septiembre?,audiosBastantes/vef_08784_00992094264
venezuela.,male,Ví una casa rosa en el puerto de Veracruz.,audiosBastantes/vem_08421_01726755468
argentina.,female,¿Qué lugares románticos hay por acá?,audiosBastantes/arf_08421_00442330426
argentina.,male,Tocar el xilófono es mi hobby favorito,audiosBastantes/arm_08421_01978841664
argentina.,female,Hay zonas de los océanos donde se está acabando el oxígeno,audiosBastantes/arf_03034_01782115754
argentina.,female,Estoy muy emocionado porque está Santana acá en Monterrey,audiosBastantes/arf_02436_01706878191
peru.,female,Acaban de enviar a un robot a Marte.,audiosBastantes/pef_03034_01139042583
colombia.,male,El pijama de rayas es azul,audiosBastantes/com_08421_00732898028
venezuela.,female,"Tengo que mandar un documento en mandarín, y no sé mandarín",audiosBastantes/vef_02484_01751934976
argentina.,female,Hace doce grados y está nublado,audiosBastantes/arf_02485_00204623004
peru.,male,He estado pensando que necesito ir a nadar dos veces por semana,audiosBastantes/pem_03397_01314470543
peru.,female,"Miguel Angel, estrenaron una película aquí en Lima pero no me acuerdo si es de animación",audiosBastantes/pef_03397_00219023089
venezuela.,female,"Las cornetas que te dije son enormes, ¿sabes qué se puede hacer con ellas?",audiosBastantes/vef_02484_00099472497
argentina.,male,El Llano en Llamas es un clásico de Juan Rulfo,audiosBastantes/arm_08784_01545140717
argentina.,female,¿Te gustan los chocolates?,audiosBastantes/arf_09697_00707924728
peru.,male,La película me llegó al corazón,audiosBastantes/pem_05223_00759760486
peru.,female,Es que han pasado muchas cosas Esteban ¿no?,audiosBastantes/pef_06136_00462136669
colombia.,female,¿Me puedes reservar por internet algunas entradas para el cine?,audiosBastantes/cof_02484_00437993357
argentina.,male,"Quiero sacar dinero en efectivo, ¿cuál es el cajero automático más cercano?",audiosBastantes/arm_09697_01146709538
argentina.,female,A la hora de la comida solo come pollo y verduras hervidas,audiosBastantes/arf_07973_00122921946
argentina.,female,Quiero ver una película de terror.,audiosBastantes/arf_04766_01485866837
peru.,male,¿Conoces los hornos indios para hacer tandoori?,audiosBastantes/pem_03034_01826891520
colombia.,female,Toda ésta información la puede encontrar en la página web de la secretaría de educación,audiosBastantes/cof_08784_00795530992
argentina.,female,En la zona del centro te podés mover fácilmente caminando y no vas a necesitar usar ningún medio de transporte,audiosBastantes/arf_08886_01261847179
colombia.,male,De casualidad por ahí tendrás alguna información sobre tecnología,audiosBastantes/com_09697_00267040995
argentina.,male,"La bolsa ha aumentado en un diecisiete por ciento, es un buen momento para hacer inversiones",audiosBastantes/arm_02484_02017115803
peru.,male,Quiero irme de vacaciones a Hawái pero tengo ésta duda de si el volcán está activo,audiosBastantes/pem_07508_00846020236
venezuela.,female,Tengo muchísimas ganas de ver una buena película,audiosBastantes/vef_07508_01239516794
argentina.,female,Según mis datos este martes dieciocho de Febrero no se trabaja,audiosBastantes/arf_07508_00484036484
peru.,male,A Sofia y a Pablo les gusta el karaoke y el sushi,audiosBastantes/pem_00295_00106102686
peru.,female,Quiero saber exactamente cuáles fueron los edificios que se cayeron,audiosBastantes/pef_04310_01217357524
venezuela.,male,¿Necesitas que tu computadora tenga mucha memoria?,audiosBastantes/vem_07049_00781057720
colombia.,female,"Necesito una camioneta con capacidad para diez personas, no tenemos presupuesto para ir en avión",audiosBastantes/cof_01523_00263223799
colombia.,female,¿Qué opciones de horario de salida me ofreces?,audiosBastantes/cof_08784_01475173600
venezuela.,female,¿Cómo te fue ayer?,audiosBastantes/vef_09334_01835786937
peru.,female,Te recomiendo que veas las películas de Luis Buñuel.,audiosBastantes/pef_03349_01976840108
argentina.,female,Hace dieciocho grados y llueve,audiosBastantes/arf_03398_00537783447
colombia.,male,"Quiero que me recomiendes una dieta pero donde uno pueda comer algo, no puras verduras",audiosBastantes/com_07508_00280956917
