audio_file_name,Speaker,Gender,Country,Recording,AdditionalInfo
arf_02121_00117568274,arf02121speaker,f,ar,¿Qué opciones de vuelo hay?,
cof_02484_01971524767,cof02484speaker,f,co,En varios portales de internet encontramos clasificación de cuatro y cinco estrellas,
pem_09697_00606153301,pem09697speaker,m,pe,¿Te gusta la nieve?,
pef_07508_00413215081,pef07508speaker,f,pe,¿Me puedes conseguir un analgésico?,
arf_08421_01508873369,arf08421speaker,f,ar,No sé a donde salir con mi esposo para nuestro aniversario.,
arf_03397_01634899905,arf03397speaker,f,ar,No supo descifrar las huellas,
pem_09697_01208190701,pem09697speaker,m,pe,Los boletos cuestan alrededor de ciento cincuenta dólares canadienses,
pem_08421_01830479856,pem08421speaker,m,pe,La mermelada de zarzamora es muy fácil de hacer,
com_07049_00678516699,com07049speaker,m,co,Estoy en Monterrey de visita y no conozco muy bien la ciudad.,
clm_00610_00060618238,clm00610speaker,m,cl,No se que hacer con mi hijo y su mala conducta.,
cof_07508_00977546862,cof07508speaker,f,co,Por las tardes se escucha música en la Plaza.,
pem_04310_00227172220,pem04310speaker,m,pe,El evento es en cuatro días,
arm_08421_01975205620,arm08421speaker,m,ar,Hemos encontrado diferentes cuartos en la zona sur que se adecuan a tus necesidades,
vef_09697_01323270223,vef09697speaker,f,ve,Asistente traductor en línea,
arf_03397_01119240788,arf03397speaker,f,ar,Los hámsters comen zanahorias,
cof_09334_02076678021,cof09334speaker,f,co,Te lo puedo mandar a tu correo para que lo entiendas mejor.,
arm_05223_01908915837,arm05223speaker,m,ar,¿Qué te parece los mas grandes exitos en español?,
pem_05223_01337817723,pem05223speaker,m,pe,Me gusta mucho caminar por el campo y tomarle fotos a la naturaleza,
vef_08421_01714835969,vef08421speaker,f,ve,¿Quién de la lista da el mejor masaje deportivo?,
arf_05223_00717176231,arf05223speaker,f,ar,"Los podcast hablan de espectáculos, y deportes, de cualquier tipo de tema",
arf_07060_01661765584,arf07060speaker,f,ar,¿Quién subió el mejor video?,
pef_09697_01725717004,pef09697speaker,f,pe,Vamos a usar la app de la embajada de Francia que es para gente que no sabe nada de Francés,
arm_03397_00651543608,arm03397speaker,m,ar,Te recomiendo mucho el jugo de ananá con manzana por la mañana. Es muy energético.,
com_03349_02015752225,com03349speaker,m,co,No me acuerdo como se llama la película que vi en el cine.,
arm_08421_01262873166,arm08421speaker,m,ar,Creo que tiene rota la tibia y el peroné,
arm_01523_00957798349,arm01523speaker,m,ar,¿Por qué dicen quen la sal no es saludable?,
vef_05223_00485759711,vef05223speaker,f,ve,¿Deseas enviar datos a_letter tu familia de que estás bien?,
pef_07508_01898452025,pef07508speaker,f,pe,La ciudad es bellísima y tan alegre,
cof_08784_00513249794,cof08784speaker,f,co,El Llano en Llamas es un clásico de Juan Rulfo,
pem_09334_00001754833,pem09334speaker,m,pe,Te recomiendo que veas las películas de Luis Buñuel.,
arf_02436_00861573097,arf02436speaker,f,ar,¿Qué necesito para renovar mi visa de turista?,
arm_07049_02037291603,arm07049speaker,m,ar,"Ya no quiero usar tanto el auto, quiero usar más la bicicleta",
arf_09697_00779410083,arf09697speaker,f,ar,Hay varios cines cerca de tu hotel. ¿Estas buscando algo en especial?,
pem_09334_01643406774,pem09334speaker,m,pe,¿Cómo va el juego de tenis?,
pef_02121_01691803823,pef02121speaker,f,pe,"Tengo una junta de negocios con la firma de abogados, ¿se acuerda?",
pef_09334_01300329248,pef09334speaker,f,pe,"Sí, esa bolsa es la bolsa que quiero.",
cof_08421_00542570693,cof08421speaker,f,co,No se que hacer con mi hijo y su mala conducta.,
pem_08784_01744820927,pem08784speaker,m,pe,El pijama de rayas es azul,
