audio_file_name,Speaker,Gender,Country,Recording,AdditionalInfo
clf_09697_00501447114,clf09697speaker,f,cl,Según la televisión y los medios ha habido bastantes muertos por el terremoto,
vef_07049_01249664229,vef07049speaker,f,ve,Está muy cansado,
vem_04310_01381434066,vem04310speaker,m,ve,Esa palabra no tiene un origen conocido,
clm_02121_01399911880,clm02121speaker,m,cl,Con base en los discos que has comprado ultimamente podria recomendarte el ultimo disco de Cristina Aguilera,
prf_03397_00865975844,prf03397speaker,f,pr,Me parece muy interesante el libro de Matias sobre nuevas tecnologías,
vef_07049_01575464335,vef07049speaker,f,ve,"¿Qué otros programas hay, para más temprano?",
vem_04310_02021951212,vem04310speaker,m,ve,La mermelada de zanahoria es muy fácil de hacer,
pem_01523_01497498281,pem01523speaker,m,pe,¿Sabes qué equipos están clasificados y cuáles no para el mundial de Rusia del dos mil dieciocho?,
arf_08784_02062822105,arf08784speaker,f,ar,¿Me podés concretar la pregunta?,
clf_09697_01437544129,clf09697speaker,f,cl,Señor Fernando ¿en que le puedo ayudar?,
